Model,Mileage,City,Year,Dealer,Price
Mustang,"70,000 Miles",Santa Monica,2019,Major Motor Cars,"$20,644"
Escape,"66,135 Miles",Los Angeles,2020,Ford Of Downtown LA,"$21,917"
Flex,"130,010 Miles",La Puente,2009,GM Auto Inc,"$9,999"
F-250 Super Duty,"72,652 Miles",Ontario,2009,JFAM Motors,"$18,999"
F-150,"48,512 Miles",Montclair,2021,Westcoast Auto Sales,"$41,888"
F-150,"71,585 Miles",Riverside,2019,Raceway Ford,"$33,229"
Focus,"124,854 Miles",Pasadena,2010,Car Depot,"$6,195"
Mustang,"101,251 Miles",Ontario,2016,Corona Motors,"$18,745"
Mustang,"97,072 Miles",Corona,2014,Carsho,"$15,750"
F-150,"241,855 Miles",Winnetka,2001,Credit Mundo Auto Sales,"$7,995"
Transit,"18,466 Miles",Los Angeles,2021,Ford Of Downtown LA,"$41,899"
Fusion,"64,838 Miles",San Bernardino,2012,St Wannas Inc,"$11,090"
Focus,"70,809 Miles",Pasadena,2016,United Auto Group,"$9,800"
Fusion Hybrid,"152,793 Miles",Moreno Valley,2017,Americar Auto Finance,"$11,995"
Fusion,"98,832 Miles",Valencia,2017,Hello Kia Of Valencia,"$11,500"
F-150,"128,507 Miles",Bloomington,2014,Los Compadres Auto Sales,"$19,995"
F-250 Super Duty,"132,586 Miles",Orange,2003,Best Deal Auto Brokers,"$14,475"
Ranger,"159,694 Miles",Orange,2003,B&J Car Company,"$9,888"
Edge,"63,149 Miles",Anaheim,2019,Dvine Imports,"$21,995"
Fusion,"148,543 Miles",Glendora,2015,Select Auto Wholesale,"$10,995"
Fusion,"90,796 Miles",North Hollywood,2009,Alen's Auto Care And Sales,"$6,998"
F-150,"126,355 Miles",Oxnard,2017,Oxnard Mitsubishi,"$19,995"
F-150,"59,494 Miles",Garden Grove,2018,Garden Grove Hyundai,"$28,251"
Bronco,"14,515 Miles",Ontario,2022,CarMax Ontario - Now Offering Express Pickup And Home Delivery,"$42,998"
Ranger,New,Los Angeles,2022,Ford Of Downtown LA,"$32,220"
Explorer,"141,675 Miles",Ontario,2015,Empire Motors,"$13,995"
Explorer,"62,416 Miles",Los Angeles,2019,Ford Of Downtown LA,"$23,788"
F-250 Super Duty,"34,442 Miles",Irvine,2016,Orange County Auto Wholesale,"$57,875"
Explorer,"86,581 Miles",Norco,2016,Auto X Motors,"$19,900"
Mustang,"105,968 Miles",Buena Park,2013,Hatman Motorsport,"$12,500"
Ranger,New,Riverside,2023,Raceway Ford,"$41,055"
Mustang,"56,786 Miles",Santa Monica,2019,Major Motor Cars,"$22,621"
F-150,"120,732 Miles",Whittier,2016,714 Auto,"$27,995"
F-150,New,Riverside,2023,Raceway Ford,"$74,550"
EcoSport,"60,737 Miles",Anaheim,2020,Anaheim Hyundai,"$14,900"
F-150,"56,398 Miles",Burbank,2019,CarMax Burbank - Now Offering Express Pickup And Home Delivery,"$29,998"
